title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
Ni no Kuni II: Revenant Kingdom,PS4,Role-Playing,Namco Bandai Games,Level 5,8.7,0.89,0.33,0.12,0.31,0.13,2018-03-23,2018-02-28,2
Assassin's Creed III,PC,Action-Adventure,Ubisoft,Ubisoft Montreal,8.6,0.89,0.28,0.0,0.54,0.07,2012-11-20,2018-04-12,3
Mario Party: Star Rush,3DS,Party,Nintendo,"Nd Cube Co., Ltd.",6.2,0.87,0.25,0.2,0.37,0.05,2016-11-04,2018-11-19,4
Sleeping Dogs,X360,Action-Adventure,Square Enix,United Front Games,7.9,0.87,0.38,0.01,0.4,0.08,2012-08-14,2018-03-07,3
Paper Mario: Color Splash,WiiU,Action-Adventure,Nintendo,Intelligent Systems,7.4,0.87,0.35,0.08,0.37,0.06,2016-10-07,2018-03-31,3
Super Bomberman R,NS,Puzzle,Konami Digital Entertainment,HexaDrive,6.3,0.87,0.31,0.19,0.32,0.06,2017-03-03,2018-03-24,4
Wii Fit U,WiiU,Misc,Nintendo,Nintendo,7.2,0.86,0.35,0.21,0.24,0.06,2014-01-10,2018-01-27,4
Darksiders II,PS3,Action-Adventure,THQ,Vigil Games,8.3,0.85,0.35,0.01,0.37,0.13,2012-08-14,2018-03-14,3
ZombiU,WiiU,Action,Ubisoft,Ubisoft Montpellier,6.9,0.84,0.35,0.05,0.37,0.07,2012-11-18,2020-08-02,4
Xenoblade Chronicles X,WiiU,Role-Playing,Nintendo,Monolith Soft,8.1,0.84,0.34,0.15,0.29,0.06,2015-12-04,2018-01-06,2
MLB 13: The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,8.5,0.84,0.68,0.0,0.0,0.16,2013-03-05,2018-03-14,1
Sniper Elite V2,X360,Shooter,505 Games,Rebellion Developments,7.0,0.84,0.46,0.02,0.28,0.08,2012-05-01,2018-03-13,4
Madden NFL 25,XOne,Sports,EA Sports,EA Tiburon,7.1,0.83,0.69,0.0,0.06,0.09,2013-11-22,2018-01-06,1
Twisted Metal (2012),PS3,Action,Sony Computer Entertainment,Eat Sleep Play,7.9,0.83,0.67,0.0,0.07,0.09,2012-02-14,2018-03-14,4
The Crew 2,PS4,Racing,Ubisoft,Ivory Tower,6.5,0.82,0.22,0.05,0.42,0.12,2018-06-29,2018-07-19,4
The Walking Dead: A Telltale Games Series,PS3,Adventure,Telltale Games,Telltale Games,9.7,0.82,0.4,0.03,0.25,0.14,2012-11-20,2018-05-10,2
Professor Layton vs Ace Attorney,3DS,Adventure,Nintendo,Level 5,8.1,0.82,0.2,0.3,0.27,0.04,2014-08-29,2018-01-07,4
Madden NFL 16,PS3,Sports,EA Sports,EA Tiburon,8.0,0.81,0.6,0.0,0.07,0.15,2015-08-25,2018-03-31,1
Professor Layton and the Azran Legacy,3DS,Puzzle,Nintendo,Level 5,8.0,0.81,0.0,0.25,0.53,0.03,2014-02-28,2018-01-07,4
The Amazing Spider-Man (2012),PS3,Action-Adventure,Activision,Beenox,7.3,0.8,0.31,0.0,0.36,0.12,2012-06-26,2018-03-15,3
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Sports,Nintendo,Sega Sports R&D,5.9,0.8,0.37,0.14,0.23,0.06,2013-11-15,2018-01-31,0
Darksiders II,X360,Action-Adventure,THQ,Vigil Games,8.6,0.79,0.45,0.0,0.27,0.07,2012-08-14,2018-02-07,3
Dead Island: Riptide,X360,Misc,Deep Silver,Techland,5.6,0.79,0.44,0.01,0.27,0.07,2013-04-23,2018-03-15,0
F1 2016,PS4,Racing,Codemasters,Codemasters,8.0,0.78,0.07,0.03,0.56,0.11,2017-01-01,2018-05-14,2
Just Dance 2018,NS,Music,Ubisoft,Ubisoft Paris,8.0,0.76,0.3,0.0,0.4,0.06,2017-10-24,2018-04-06,4
Resident Evil: Revelations,PS3,Action,Capcom,Capcom,7.6,0.76,0.14,0.22,0.32,0.09,2013-05-21,2018-03-16,4
PokéPark 2: Wonders Beyond,Wii,Action-Adventure,Nintendo,Creatures Inc.,6.5,0.76,0.26,0.27,0.19,0.04,2012-02-27,2018-03-16,3
LEGO City Undercover,PS4,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8.0,0.75,0.17,0.01,0.46,0.12,2017-04-04,2018-05-24,4
FIFA 19,NS,Sports,Electronic Arts,EA Sports,5.9,0.75,0.18,0.06,0.47,0.05,2018-09-28,2018-09-12,0
Disney Infinity 2.0: Marvel Super Heroes,PS4,Action-Adventure,Disney Interactive Studios,Avalanche Software,8.0,0.75,0.37,0.0,0.25,0.13,2014-09-23,2018-02-06,3
The Amazing Spider-Man (2012),X360,Action-Adventure,Activision,Beenox,6.8,0.74,0.43,0.0,0.24,0.07,2012-06-26,2018-03-15,3
Need for Speed (2015),XOne,Racing,Electronic Arts,Ghost Games,6.7,0.74,0.35,0.0,0.33,0.06,2015-11-03,2018-04-03,4
Sonic Forces,NS,Platform,Sega,Sonic Team,5.4,0.74,0.39,0.01,0.27,0.06,2017-11-07,2018-02-11,0
Need for Speed: Payback,XOne,Racing,Electronic Arts,Ghost Games,5.9,0.73,0.42,0.0,0.24,0.07,2017-11-10,2018-04-04,0
