title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
Risen 2: Dark Waters,X360,Role-Playing,Deep Silver,Piranha Bytes,5.5,0.14,0.05,0.0,0.08,0.01,2012-07-31,2018-01-03,0
NBA 2K13,WiiU,Sports,2K Sports,Visual Concepts,7.6,0.14,0.08,0.0,0.04,0.01,2012-11-18,2018-01-04,1
Shin Megami Tensei: Devil Survivor 2 Record Breaker,3DS,Role-Playing,Atlus,Atlus,8.4,0.13,0.0,0.1,0.02,0.0,2015-05-05,2018-01-31,2
Venetica,X360,Role-Playing,Atari,DECK13 Interactive,5.2,0.13,0.09,0.0,0.03,0.01,2011-01-11,2018-05-10,0
Everybody Dance,PS3,Music,Sony Computer Entertainment,SCEE London Studio,6.5,0.13,0.11,0.0,0.0,0.02,2011-10-18,2018-09-14,4
The Legend of Heroes: Trails of Cold Steel III,PS4,Role-Playing,NIS America,Nihon Falcom Corporation,7.0,0.13,0.0,0.13,0.0,0.0,2019-09-24,2018-07-03,4
Tom Clancy's Splinter Cell: Blacklist,WiiU,Action-Adventure,Ubisoft,Ubisoft Shanghai,9.2,0.13,0.04,0.0,0.07,0.01,2013-08-20,2018-03-08,3
007 Legends,WiiU,Shooter,Activision,Eurocom,4.2,0.13,0.06,0.0,0.06,0.01,2012-12-11,2018-03-16,0
Nickelodeon Kart Racers,NS,Racing,GameMill Entertainment,Bamtang,2.0,0.13,0.08,0.0,0.04,0.01,2018-10-23,2020-09-21,0
Little Dragons Café,NS,Simulation,Aksys Games,Aksys Games,7.0,0.13,0.09,0.02,0.0,0.01,2018-08-24,2018-09-26,4
New Gundam Breaker,PS4,Action,Namco Bandai Games,Bandai Namco Games,2.8,0.13,0.03,0.1,0.0,0.01,2018-06-22,2018-04-21,0
Ape Escape 3,PS2,Platform,Sony Computer Entertainment,SCE Japan Studio,7.8,0.13,0.06,0.0,0.05,0.02,2006-01-17,2018-09-16,4
Football Manager Classic 2014,PSV,Sports,Sega,Sports Interactive,5.8,0.12,0.0,0.0,0.1,0.03,2014-04-11,2018-03-21,0
"Snipperclips Plus: Cut It Out, Together!",NS,Puzzle,Nintendo,SFB Games,8.2,0.12,0.0,0.1,0.02,0.0,2017-03-03,2018-03-31,4
Payday 2,NS,Shooter,505 Games,Overkill Software,5.0,0.12,0.08,0.0,0.02,0.01,2018-02-27,2018-01-08,0
Nintendo Pocket Football Club,3DS,Sports,Nintendo,ParityBit,7.0,0.12,0.0,0.12,0.0,0.0,2012-07-12,2018-08-30,1
Zero Escape: Zero Time Dilemma,3DS,Adventure,Aksys Games,Chime,7.7,0.12,0.08,0.03,0.0,0.01,2016-06-28,2018-07-03,4
MLB 14 The Show,PSV,Sports,Sony Computer Entertainment America,SCE San Diego Studio,7.1,0.12,0.09,0.0,0.0,0.03,2014-04-01,2018-03-16,1
Venetica,PS3,Role-Playing,Atari,DECK13 Interactive,5.0,0.12,0.07,0.0,0.03,0.01,2011-01-11,2018-05-10,0
Picross 3D Round 2,3DS,Puzzle,Nintendo,HAL Laboratory,8.6,0.12,0.0,0.12,0.0,0.0,2016-09-01,2018-04-23,2
Rocket League,PC,Sports,Psyonix Studios,Psyonix Studios,9.2,0.12,0.03,0.0,0.08,0.01,2015-07-07,2018-04-04,1
Overcooked Special Edition,NS,Simulation,Team 17,Ghost Town Games,8.4,0.11,0.08,0.0,0.01,0.01,2018-02-13,2018-01-08,2
NBA 2K18,X360,Sports,2K Sports,Visual Concepts,7.0,0.11,0.09,0.0,0.0,0.01,2017-09-19,2018-04-02,1
Burnout Paradise Remastered,XOne,Racing,Electronic Arts,Stellar Entertainment,8.0,0.11,0.06,0.0,0.04,0.01,2018-03-16,2018-02-24,2
NASCAR '14,PS3,Racing,Deep Silver,Eutechnyx,7.0,0.11,0.09,0.0,0.0,0.02,2014-02-18,2018-11-04,4
Namco Museum Arcade Pac,NS,Misc,Bandai Namco Entertainment,Bandai Namco,7.8,0.11,0.08,0.0,0.02,0.01,2018-09-28,2019-02-11,4
Pro Evolution Soccer 2014,PC,Sports,Konami Digital Entertainment,Konami,8.3,0.11,0.0,0.0,0.1,0.01,2013-09-20,2018-03-02,1
RiME,PS4,Adventure,Grey Box,Tequila Works,7.1,0.11,0.02,0.0,0.07,0.02,2017-05-26,2018-04-08,4
Dead Cells,NS,Action,Merge Games,Motion Twin,9.3,0.11,0.08,0.0,0.02,0.01,2018-08-15,2018-08-06,2
Phantom Dust,XB,Action,Majesco,Microsoft Game Studios,8.2,0.11,0.08,0.0,0.02,0.0,2005-03-15,2018-10-02,2
Deus Ex: Human Revolution,WiiU,Shooter,Square Enix,Eidos Interactive,8.6,0.11,0.05,0.0,0.05,0.01,2013-10-22,2018-03-16,2
Pokémon Rumble World,3DS,Action,Nintendo,Ambrella,7.0,0.11,0.0,0.09,0.02,0.0,2015-04-08,2018-08-03,4
Wolfenstein II: The New Colossus,NS,Shooter,Bethesda Softworks,MachineGames,8.3,0.11,0.05,0.0,0.05,0.01,2018-06-29,2018-07-28,2
Ys VIII: Lacrimosa of Dana,NS,Role-Playing,NIS America,Nihon Falcom Corporation,8.5,0.11,0.03,0.03,0.03,0.01,2018-06-26,2018-01-11,2
The Alliance Alive,3DS,Role-Playing,Atlus,Cattle Call,7.3,0.11,0.04,0.06,0.0,0.01,2018-03-27,2019-03-16,4
Dark Souls: Remastered,XOne,Role-Playing,Bandai Namco Entertainment,From Software,8.0,0.11,0.07,0.0,0.03,0.01,2018-05-25,2018-06-05,2
Vandal Hearts II,PS,Strategy,Konami,Konami,7.2,0.1,0.06,0.0,0.04,0.01,1999-11-30,2018-04-10,4
The Elder Scrolls Online: Summerset,PS4,MMO,Bethesda Softworks,ZeniMax Online Studios,7.5,0.1,0.08,0.0,0.0,0.02,2018-05-21,2018-09-15,4
Shantae and the Pirate's Curse,3DS,Platform,WayForward Technologies,WayForward Technologies,7.7,0.1,0.05,0.04,0.0,0.01,2016-10-18,2018-01-31,4
Dead or Alive 5 Plus,PSV,Fighting,Tecmo Koei,Team Ninja,8.0,0.1,0.0,0.03,0.06,0.02,2013-03-19,2018-11-20,4
Dead or Alive 5 Last Round,XOne,Fighting,Tecmo Koei,Team Ninja,7.5,0.1,0.05,0.01,0.03,0.01,2015-02-17,2018-11-20,4
Stardew Valley,PS4,Simulation,505 Games,ConcernedApe,8.8,0.1,0.04,0.0,0.04,0.02,2017-04-11,2019-02-11,2
Attack on Titan 2,XOne,Action,Koei Tecmo,Omega Force,7.0,0.09,0.08,0.0,0.0,0.01,2018-03-20,2018-03-30,4
Brain Age: Concentration Training,3DS,Education,Nintendo,Nintendo,7.5,0.09,0.08,0.0,0.0,0.01,2013-02-10,2019-01-15,4
echochrome,PSP,Puzzle,Sony Computer Entertainment,SCE Japan Studio,7.6,0.09,0.0,0.08,0.01,0.0,2008-05-01,2018-09-17,4
NBA 2K18,PS3,Sports,2K Sports,Visual Concepts,7.0,0.09,0.06,0.01,0.01,0.01,2017-09-19,2018-04-02,1
The Amazing Spider-Man (2012),WiiU,Action-Adventure,Activision,Beenox,6.0,0.09,0.05,0.0,0.04,0.01,2013-03-05,2018-03-15,0
ARK: Survival Evolved,NS,Action-Adventure,Studio Wildcard,Studio Wildcard,4.0,0.08,0.07,0.0,0.0,0.01,2018-11-30,2018-09-22,0
Darksiders II: Deathinitive Edition,XOne,Action-Adventure,Nordic Games,Gunfire Games,7.5,0.08,0.05,0.0,0.03,0.01,2015-10-30,2018-10-02,3
FIFA 18,PC,Sports,EA Sports,EA Vancouver,8.0,0.08,0.0,0.0,0.08,0.0,2017-09-29,2018-04-02,1
Mario vs. Donkey Kong: Tipping Stars,3DS,Puzzle,Nintendo,Nintendo Software Technology Corporation,6.5,0.08,0.0,0.08,0.0,0.0,2015-03-05,2019-01-15,4
Far Cry 5,PC,Action,Ubisoft,Ubisoft,6.3,0.07,0.0,0.0,0.07,0.0,2018-02-27,2018-07-19,4
Tank! Tank! Tank!,WiiU,Misc,Namco Bandai Games,Namco Bandai Games,4.7,0.07,0.02,0.05,0.01,0.0,2012-11-18,2018-01-18,0
Ride 3,PS4,Racing,Bandai Namco Entertainment,Milestone S.r.l.,7.3,0.07,0.03,0.0,0.03,0.01,2018-11-30,2019-03-21,4
Need for Speed: Most Wanted (2012),PC,Racing,Electronic Arts,Criterion Games,8.5,0.07,0.0,0.0,0.06,0.01,2012-10-30,2018-12-19,2
Zombi,PS4,Action,Ubisoft,Ubisoft Montpellier,7.5,0.07,0.0,0.01,0.04,0.01,2015-08-18,2018-01-17,4
Culdcept Revolt,3DS,Strategy,NIS America,OmiyaSoft,7.3,0.07,0.0,0.07,0.0,0.0,2017-10-03,2018-04-02,4
Poi,NS,Platform,Polykid,Polykid,5.0,0.07,0.05,0.0,0.01,0.01,2017-02-01,2019-02-15,0
Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,Indies Zero,7.9,0.07,0.02,0.03,0.01,0.0,2018-06-08,2020-07-23,4
Cooking Mama: Sweet Shop,3DS,Simulation,Rising Star Games,Office Create,6.0,0.07,0.03,0.04,0.0,0.0,2017-05-16,2018-01-16,0
Risen 3: Titan Lords Enhanced Edition,PS4,Role-Playing,Deep Silver,Piranha Bytes,1.0,0.07,0.0,0.0,0.06,0.01,2015-08-21,2018-01-03,0
RPG Maker: Fes,3DS,Role-Playing,NIS America,Kadokawa Games,7.0,0.07,0.03,0.02,0.0,0.0,2017-06-27,2018-04-22,4
MotorStorm RC,PSV,Racing,Sony Computer Entertainment,Evolution Studios,8.1,0.07,0.0,0.0,0.05,0.01,2012-03-06,2019-07-17,2
BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,Arc System Works,8.0,0.07,0.04,0.01,0.01,0.01,2018-06-05,2018-06-06,4
Cartoon Network: Battle Crashers,PS4,Action,GameMill Entertainment,Magic Pockets,1.5,0.06,0.05,0.0,0.0,0.01,2016-11-08,2020-09-25,0
One Piece: Pirate Warriors 3 - Deluxe Edition,NS,Action,Bandai Namco Entertainment,Omega Force,8.5,0.06,0.0,0.05,0.01,0.0,2018-05-11,2019-02-20,2
Men of War: Assault Squad,PC,Strategy,1C Company,Digitalmindsoft,8.0,0.06,0.01,0.0,0.04,0.01,2011-02-25,2019-03-29,2
Lord of Magna: Maiden Heaven,3DS,Role-Playing,Xseed Games,Marvelous,7.0,0.06,0.0,0.06,0.0,0.0,2015-06-02,2019-01-03,4
Cartoon Network: Battle Crashers,3DS,Action,GameMill Entertainment,Magic Pockets,3.5,0.06,0.04,0.0,0.01,0.01,2016-11-08,2020-09-25,0
Disgaea 1 Complete,NS,Role-Playing,NIS America,Nippon Ichi Software,8.0,0.06,0.03,0.01,0.01,0.0,2018-10-09,2019-02-19,2
Asterix and Obelix XXL2,NS,Action-Adventure,Microids,Microids,6.5,0.06,0.0,0.0,0.06,0.0,2018-11-29,2019-02-19,3
Wonder Boy: The Dragon's Trap (Remake),NS,Platform,DotEmu,Lizardcube,7.4,0.05,0.04,0.0,0.0,0.01,2017-04-18,2018-08-10,4
Devil's Third,WiiU,Action,Nintendo,Valhalla Game Studios,3.8,0.05,0.03,0.0,0.02,0.0,2015-12-11,2018-01-22,0
DuckTales: Remastered,PS3,Platform,Capcom,WayForward,8.6,0.05,0.01,0.0,0.04,0.01,2013-08-13,2019-02-17,2
Sega 3D Classics Collection,3DS,Misc,Sega,M2,7.0,0.05,0.05,0.0,0.0,0.01,2016-04-26,2019-01-11,4
Back to the Future: The Game,Wii,Adventure,Telltale Games,Telltale Games,7.0,0.05,0.05,0.0,0.0,0.0,2011-10-25,2018-04-23,4
Owlboy,NS,Platform,Soedesco,D-Pad Studios,9.0,0.05,0.03,0.0,0.01,0.01,2018-05-29,2018-11-06,2
Hellblade: Senua's Sacrifice,PS4,Action-Adventure,505 Games,Ninja Theory,8.3,0.05,0.03,0.0,0.01,0.01,2018-12-04,2018-11-02,3
Battle Chasers: Nightwar,NS,Role-Playing,THQ Nordic,Airship Syndicate,8.5,0.05,0.03,0.0,0.01,0.0,2018-05-15,2018-09-22,2
Venetica,PC,Role-Playing,Atari,DECK13 Interactive,6.0,0.05,0.0,0.0,0.04,0.01,2011-01-11,2018-05-10,0
I am Setsuna,NS,Role-Playing,Square Enix,Tokyo RPG Factory,7.0,0.05,0.0,0.05,0.0,0.0,2017-03-03,2018-07-04,4
GrimGrimoire,PS2,Strategy,NIS America,Vanillaware,7.7,0.05,0.01,0.03,0.01,0.0,2007-06-26,2019-01-10,4
Sine Mora EX,NS,Action,THQ Nordic,Digital Reality,8.0,0.04,0.0,0.0,0.04,0.0,2017-09-26,2018-08-15,4
Lost Sphear,NS,Role-Playing,Square Enix,Tokyo RPG Factory,6.5,0.04,0.0,0.02,0.02,0.0,2018-01-23,2018-01-10,4
Langrisser: Re:Incarnation Tensei,3DS,Role-Playing,Aksys Games,NCS,1.5,0.04,0.03,0.01,0.0,0.0,2016-04-19,2018-08-06,0
Blade Strangers,NS,Fighting,Nicalis,Studio Saizensen,8.3,0.04,0.03,0.0,0.0,0.0,2018-08-28,2018-07-28,2
PlayStation Move Ape Escape,PS3,Party,Sony Computer Entertainment,SCE Japan Studio,4.0,0.04,0.0,0.0,0.03,0.01,2011-07-05,2018-09-16,0
Pure Farming 2018,PS4,Simulation,Techland,Ice Flames,7.0,0.04,0.02,0.0,0.01,0.01,2018-03-13,2018-07-19,4
Assassin's Creed Rogue Remastered,XOne,Action-Adventure,Ubisoft,Ubisoft,6.0,0.04,0.0,0.0,0.03,0.0,2018-03-20,2018-01-29,3
Monster Boy and the Cursed Kingdom,NS,Action-Adventure,FDG Entertainment,Game Atelier,8.0,0.04,0.03,0.0,0.0,0.0,2018-11-06,2018-12-17,3
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,Action-Adventure,D3Publisher,Way Forward,2.8,0.04,0.02,0.0,0.02,0.0,2013-12-12,2018-01-22,0
Tom Clancy's Ghost Recon Wildlands,PC,Shooter,Ubisoft,Ubisoft Paris,7.4,0.04,0.0,0.0,0.04,0.0,2017-03-07,2018-04-01,4
Trine 2: Director's Cut,WiiU,Platform,Frozenbyte,Frozenbyte,7.8,0.04,0.0,0.0,0.04,0.0,2012-11-18,2018-08-28,4
Aegis of Earth: Protonovus Assault,PS4,Action,Aksys Games,Acquire,4.0,0.04,0.03,0.0,0.01,0.01,2016-03-15,2018-06-15,0
Saints Row 2,PC,Action,THQ,Volition Inc.,6.6,0.04,0.0,0.0,0.03,0.01,2009-01-05,2018-04-02,4
Grand Theft Auto: Vice City,PC,Action,Rockstar Games,Rockstar North,9.0,0.04,0.0,0.0,0.03,0.0,2003-05-12,2018-02-03,2
Red Faction: Guerrilla,PC,Shooter,THQ,Volition Inc.,8.3,0.03,0.0,0.0,0.03,0.0,2009-09-15,2018-04-02,2
Code of  Princess EX,NS,Action,Nicalis,Studio Saizensen,7.2,0.03,0.02,0.01,0.0,0.0,2018-07-31,2018-03-08,4
Zero Escape: Virtue's Last Reward,3DS,Visual Novel,Aksys Games,Spike Chunsoft,9.0,0.03,0.03,0.0,0.0,0.0,2012-10-23,2019-01-23,2
Rabbids Land,WiiU,Party,Ubisoft,Ubisoft Paris,6.1,0.03,0.01,0.0,0.01,0.0,2012-11-18,2020-09-08,0
Rise of Nations: Rise of Legends,PC,Strategy,Microsoft Game Studios,Big Huge Games,8.3,0.03,0.0,0.0,0.03,0.01,2006-05-09,2018-11-15,2
Agony,PS4,Action-Adventure,Maximum Games,Madmind Studio,5.0,0.03,0.02,0.0,0.0,0.0,2018-05-29,2018-04-30,0
NBA 2K13,PC,Sports,2K Sports,Visual Concepts,9.1,0.03,0.0,0.0,0.02,0.0,2012-10-02,2018-01-04,1
Penny-Punching Princess,NS,Misc,NIS America,Nippon Ichi Software,6.5,0.03,0.03,0.0,0.0,0.0,2018-04-03,2018-04-07,4
The Lost Child,NS,Role-Playing,NIS America,Crim,7.5,0.03,0.02,0.0,0.0,0.0,2018-06-19,2018-09-20,4
Stardew Valley,XOne,Simulation,505 Games,ConcernedApe,8.8,0.03,0.02,0.0,0.0,0.0,2017-04-11,2018-03-21,2
Tenkai Knights: Brave Battle,3DS,Action,Namco Bandai Games,Delta Factory,4.5,0.02,0.01,0.0,0.01,0.0,2014-10-07,2019-01-24,0
Assetto Corsa,XOne,Racing,505 Games,Kunos Simulazioni,6.0,0.02,0.0,0.0,0.01,0.0,2016-08-30,2018-09-17,0
Fuel,PC,Racing,Codemasters,Asobo Studio,6.4,0.02,0.0,0.0,0.02,0.0,2009-06-23,2020-08-05,4
Need for Speed: Payback,PC,Racing,Electronic Arts,Ghost Games,6.5,0.02,0.0,0.0,0.02,0.0,2017-11-10,2018-04-04,4
Undertale,NS,Role-Playing,8-4,Toby Fox,9.0,0.02,0.0,0.02,0.0,0.0,2018-09-18,2018-09-26,2
Lost Sphear,PS4,Role-Playing,Square Enix,Tokyo RPG Factory,6.0,0.02,0.0,0.02,0.0,0.0,2018-01-23,2018-07-19,0
Fallen Legion: Rise to Glory,NS,Role-Playing,NIS America,Unknown,7.0,0.02,0.01,0.0,0.0,0.0,2018-05-29,2018-04-24,4
République,PS4,Action-Adventure,GungHo Online Entertainment,Camouflaj,6.5,0.02,0.0,0.01,0.01,0.0,2016-03-22,2018-04-15,3
Gal Metal!,NS,Music,Xseed Games,DMM Games,7.0,0.02,0.01,0.01,0.0,0.0,2018-10-30,2019-03-18,4
Mario vs. Donkey Kong: Tipping Stars,WiiU,Puzzle,Nintendo,Nintendo Software Technology Corporation,6.4,0.02,0.0,0.02,0.0,0.0,2015-03-05,2019-01-15,4
Runner3,NS,Platform,Nicalis,Choice Provisions,7.5,0.02,0.02,0.0,0.0,0.0,2018-05-22,2019-03-18,4
Sniper Elite V2,WiiU,Shooter,505 Games,Rebellion Developments,7.0,0.02,0.0,0.0,0.02,0.0,2013-05-21,2018-03-13,4
Yoku's Island Express,XOne,Action,Villa Gorilla,Villa Gorilla,9.0,0.02,0.01,0.0,0.0,0.0,2018-06-19,2019-03-31,2
Yoku's Island Express,NS,Action,Villa Gorilla,Villa Gorilla,9.0,0.01,0.01,0.0,0.0,0.0,2018-06-19,2019-03-31,2
Yoku's Island Express,PS4,Action,Villa Gorilla,Villa Gorilla,9.0,0.01,0.01,0.0,0.0,0.0,2018-06-19,2019-03-31,2
Musynx,NS,Music,PM Studios,PM Studios,7.5,0.01,0.01,0.0,0.0,0.0,2018-06-19,2018-01-07,4
Happy Birthdays,NS,Misc,NIS America,Arc System Works,8.5,0.01,0.01,0.0,0.0,0.0,2018-06-05,2019-04-07,2
Flipping Death,NS,Adventure,Rising Star,Zoink Games,7.5,0.01,0.01,0.0,0.0,0.0,2018-10-16,2019-03-23,4
DiRT 4,PC,Racing,Deep Silver,Codemasters,9.2,0.01,0.0,0.0,0.01,0.0,2017-06-06,2018-02-11,2
Fast Racing Neo,WiiU,Racing,Shin'en,Shin'en,8.1,0.01,0.0,0.0,0.01,0.0,2015-12-10,2018-02-01,2
Legend of Kay Anniversary,NS,Action-Adventure,THQ Nordic,THQ Nordic,6.5,0.01,0.0,0.0,0.01,0.0,2018-05-29,2019-04-06,3
Hotel Transylvania 3: Monsters Overboard,NS,Action-Adventure,Outright Games,Torus Games,6.5,0.01,0.01,0.0,0.0,0.0,2018-07-10,2019-03-24,3
Undertale,PS4,Role-Playing,Toby Fox,Toby Fox,9.7,0.01,0.0,0.01,0.0,0.0,2017-08-15,2018-06-06,2
Dillon's Dead-Heat Breakers,3DS,Action,Nintendo,Nintendo,7.0,0.0,0.0,0.0,0.0,0.0,2018-04-26,2018-05-20,4
Gothic 3: Forsaken Gods,PC,Role-Playing,JoWood Productions,Trine Games,4.4,0.0,0.0,0.0,0.0,0.0,2008-11-20,2018-01-04,0
Gone Home,PC,Adventure,The Fullbright Company,The Fullbright Company,9.1,0.0,0.0,0.0,0.0,0.0,2013-08-15,2018-01-21,2
Back to the Future: The Game,PC,Adventure,Telltale Games,Telltale Games,8.1,0.0,0.0,0.0,0.0,0.0,2010-12-23,2018-04-23,2
Team Fortress 2,PC,Shooter,Valve,Valve Corporation,9.2,0.0,0.0,0.0,0.0,0.0,2008-04-08,2019-03-26,2
Medal of Honor: Allied Assault,PC,Shooter,Electronic Arts,"2015, Inc.",9.3,0.0,0.0,0.0,0.0,0.0,2002-01-20,2018-03-22,2
echoshift,PSP,Puzzle,Sony Computer Entertainment,JAPAN Studio / Artoon,7.5,0.0,0.0,0.0,0.0,0.0,2010-02-24,2018-09-17,4
Pokémon Rumble U,WiiU,Action,Nintendo,Ambrella,5.7,0.0,0.0,0.0,0.0,0.0,2013-08-29,2018-08-03,0
Teslagrad,WiiU,Platform,Rain Games,Rain Games,7.0,0.0,0.0,0.0,0.0,0.0,2014-09-11,2018-01-04,4
